Headline,News,sentiment
Oil Market Still Far From Being Back To Normal.html,"Worry about oil demand sparked by the resurgence of Covid-19 in some parts of the world and a fund selloff in oil futures has reversed the recent price rally. OPEC+ reaching a deal about future production lent an assist. New Covid-19 infections are on the rise across all 50 states, and there have been jumps in new cases in some European countries as well, notably the UK and France. In the UK, the latest wave is ebbing, according to the latest reports, but optimism is in short supply as it is still unclear why it is ebbing. Meanwhile, Saudi Arabia and the United Arab Emirates struck a deal about production baselines, so OPEC+ is moving ahead with its plans to release more oil to the market, pressuring prices. Last week, Reuters’ John Kemp reported in his weekly column, hedge funds and other market makers sold oil and fuel futures at one of the fastest rates in ten years. The total sold was equivalent to 172 million barrels of crude. The most sold contract was West Texas Intermediate, at 74 million barrels, followed by Brent crude, at 51 million barrels. But besides OPEC+ and new Covid-19 infections, there is also another reason worrying oil traders about the immediate prospects for prices. China is targeting independent refiners with the aim of curbing their output, which is causing a glut.
  Earlier this year, the government told state-owned oil majors to stop trading their crude oil import quotas with independents, commonly called teapots, and then, later, it cut the second 2021 batch of crude oil import quotas for teapots by 35 percent. Beijing is also investigating independent refiners for environmental law violations and tax evasion. This crackdown in independent refiners, combined with higher oil prices, could plunge Chinese oil imports to the lowest in 20 years, Reuters reported earlier this month, citing analysts from Rystad Energy, Energy Aspects, and Independent Commodity Intelligence Services. For now, however, imports continue at a near-record pace. “There is seemingly a battle within the energy complex between the prevailing supply deficit engineered by OPEC+ and the threat of the COVID-19 Delta variant in regions with low vaccination rates,” Reuters quoted Stone X analyst Kevin Solomon as saying this week. “The slow take-up of vaccinations will continue to limit some upside in oil demand in those regions, and there will be intermittent spells in the recovery in the coming months,” Solomon also said.
 Indeed, oil has yet to come out of the woods. According to Societe Generale, “We think we could be back to a ‘normal’ year at the end of the year in terms of previously recorded values, but the entire oil market is still far from being back to normal. GDP growth has increased oil and product demand, but jet fuel demand will remain an issue although this is showing signs of normalisation.” And yet it bears noting that although both Brent and WTI took a plunge the day after OPEC+ announced its new agreement, both recovered pretty quickly, suggesting that there exists at least some perception of some resilience in demand, despite the rising Covid-19 case count in key markets such as the United States and parts of Europe. In the United States, for example, there has been a surge in air travel, which has caused a jet fuel shortage in combination with supply constraints and a labor shortage. In China, refinery run rates hit an all-time high last month, at 14.8 million bpd, supporting prices at current levels. All in all, the oil picture right now is more mixed than it was a month ago. Whether it would become even more mixed is anyone’s guess amid uneven vaccinations, vaccine opposition, and new Covid-19 infections, without even counting factors such as Iran’s potential return on international oil markets, which by now must be factored into prices.",Negative
Is Americas Oil Industry Too Big To Fail.html,"The Biden administration is making strides in reducing the United States’ dependence on fossil fuels for its energy needs. The federal government’s post-pandemic plan involves hundreds of billions in financing for renewable energy and electric vehicle projects. But it might be harder to get rid of oil and gas than some would like to believe. In a recent report commissioned by the American Petroleum Institute, PwC described the oil and gas industry as a critical one for the United States in terms of both direct and indirect impacts in the form of employment, labor income, and value added. The report makes for quite interesting and sobering reading. For example, the oil and gas industry employed 11.3 million Americans in 2019, both directly and indirectly. Labor income from these jobs, which PwC defines as wages and salaries, and benefits as well as proprietors’ income, came in at $892.7 billion for that same year. Finally, the value added by the oil and gas industry in the U.S. for 2019 came in at about $1.688 trillion. In other words, the oil and gas industry contributed close to $1.688 trillion to the national GDP. PwC noted that each direct job in the oil and gas industry supported another 3.5 in other industries. And that is counting only so-called backward linkages, as the authors of the report point out. Backward linkages refer to those with the industry’s suppliers. Forward linkages, which were not included in the calculation of the impact of oil and gas on the U.S. economy, refer to those with the industry’s consumers. Related: Top Oilfield Service Providers See Multi-Year Recovery Ahead Now, the pandemic last year wrought havoc on the oil and gas industry, but it didn’t kill it—it is far too big to kill, if you will. This year, it is in recovery mode, and even production has been growing consistently, albeit cautiously. Yet green transition plans envisage a much smaller role for oil and gas for the U.S. economy. What will replace it? The obvious answer would be “Renewable energy”. Yet wind and solar farm construction is very different from oil and gas production. Let’s talk about employment as it would be the simplest example. Oil wells are drilled and then monitored and maintained. Solar farms, once built, need a lot less maintenance and monitoring than an oil well—after all, that’s one of the best things about solar; the panels just sit there soaking the sun’s heat, turning it into electricity. Oil and gas, meanwhile, need someone watching them flow out from the ground properly.
 What this means is that oil and gas production needs more people than solar farm operations. And what this means is that oil and gas production creates more jobs than solar farm construction could, on a permanent basis. On the one hand, this makes oil and gas an uneconomical industry. On the other, it creates jobs, and job creation is good for the economy. And what about those $1.688 trillion that oil and gas production, transport, storage, and property generated for the U.S. economy? Some $1.4 trillion of this total came from direct and indirect operations, PwC said. Capital investments by the industry added another $245.4 billion. The total amount accounted for 7.9 percent of U.S. GDP for 2019.  Related: Can The Airline Industry Live Without Fossil Fuels? Here are some of the industries that oil and gas impacted indirectly with regard to GDP generation: the service sector was by far the most heavily impacted, followed by finance, insurance, real estate, rental, and leasing. Wholesale and retail trade was also considerably affected by oil and gas, as were manufacturing, transportation, and warehousing, and information, although to a lesser extent. The total indirect impact of oil and gas on these industries came in at $924.3 billion, in both operational and capital investment impacts. Now let’s consider renewables and their impact on job creation and GDP. A 2016 report by the International Renewable Energy Agency estimates that “Given the distributed and labor-intensive nature of renewable energy, direct and indirect employment in the renewable energy sector could reach 24.4 million people in 2030.” That’s 24.4 million people globally. Also, the IRENA estimated that “Doubling the share of renewables in the global energy mix increases global GDP in 2030 by up to 1.1%, equivalent to USD 1.3 trillion.” That’s compared with $1.688 trillion in GDP contributions from oil and gas in the U.S. alone in 2019.
 In a more recent report, from last year, IRENA estimates that the total number of energy sector jobs globally will increase to almost 100 million under an energy transition scenario the agency called ambitious yet realistic that would allow the world to achieve its goal of limiting global warming to 2 degrees Celsius. That’s almost a doubling of the 58 million employed in energy in 2017. As to what these renewable-energy jobs would be, IRENA is scarce on the details, mentioning renewable energy and energy efficiency as some job avenues in its scenario. At the same time, the agency forecasts a 40-percent decline in fossil fuel jobs in North America, as well as Europe. IRENA mentions the effects of the energy transition on GDP, too, noting these would be mostly positive, but they would depend on differences in the “socio-economic starting point.” Yet for North America, the agency sees GDP gains from the transition, to the tune of $659 per capita per year. From IRENA’s perspective, this outweighs any economic benefits the oil and gas industry in any country could provide because these go hand in hand with emissions. However, the U.S. government data cited in the PwC report suggests that emissions or not, the contributions of oil and gas might be difficult to let go of.",Positive
Total Equinor To Quit Venezuela Venture.html,"French TotalEnergies and Norwegian Equinor will exit their oil joint venture with PDVSA, Bloomberg has reported, citing unnamed sources familiar with the matter. TotalEnergies held a 30-percent stake in the Petrocedeno venture, and Equinor held 10 percent in the company. But now, both have transferred these stakes to the Venezuelan state-owned oil firm, according to the Bloomberg sources. The report said the news was expected to be confirmed by the Venezuelan government on Wednesday, but as of the time of writing, there was no official confirmation. Petrocedeno operates an oil field in Venezuela’s oil heartland, the Orinoco Belt, and an upgrader that blends the heavy crude produced in the Orinoco Belt with lighter hydrocarbons to make it easier to transport.
 Both TotalEnergies and Equinor have been present in Venezuela for decades. The companies stuck to Petrocedeno despite U.S. sanctions. Now, however, both companies are embarking on a course towards more renewable energy and less oil and gas, and, like others in the industry, focusing only on their best core business assets. Venezuela, meanwhile, continues to make plans for reviving its struggling oil industry, targeting oil production of 1.5 million bpd by the end of this year. This would be a threefold increase over current production rates. Before the U.S. imposed sanctions on the oil-rich country, Venezuela pumped some 2.4 million bpd. Last month, troubled PDVSA enjoyed a surge in oil exports as well, as traders rushed to sell Venezuelan crude—often masked as Malaysian—to Chinese buyers before the entry into effect of a new tax that would make imports costlier.
 Production of crude in Venezuela also increased in June, thanks to the restart of the Petrocedeno upgrader and a blending plant. “Without any financing, with our own money, we’ve been able to invest enough to stop the slide and start a gradual recovery,” oil minister Tareck El Aissami said in early July.",Positive
Oil Tops 75 On Shrinking US Crude Inventories.html,"Brent crude futures topped $75 on Thursday morning as U.S. crude oil inventories fell to 7 percent below the five-year average, according to EIA data. The September Brent crude futures contract rose 0.59% to $75.18 per barrel on Thursday at 10:30 p.m., EDT. The WTI benchmark, for its part, landed at $72.82 per barrel, up $0.44, or 0.59% on the day. The rise in crude oil prices comes despite oil demand concerns on the back of mounting fears regarding Covid-19’s Delta variant and disappointing news of waning efficacy of the Pfizer jab after six months.
 The decreasing inventories and steady-as-she-goes U.S. oil production is assuaging the fears that production increases will outpace demand increases. On the contrary, U.S. oil production has failed to make any meaningful gains over the last seven months. In December, oil production averaged roughly 11 million bpd, while July’s production has come within 200,000-400,000 bpd of that figure. Meanwhile, oil inventories have continued to draw down during that time, shedding between 55 million and 68 million barrels total, depending on whether API or EIA data is used. The data inspires confidence. Not necessarily that oil demand is roaring back, but that it is outpacing U.S. production. But that’s not to say that sunny days are here to stay.
 Fluid Covid-19 developments, a possible uptick in oil supplies from Iran and Venezuela as sanctions are potentially reconsidered, and OPEC’s production plans all have a strong pull on oil prices. Inventory and rig data, particularly in the United States, will continue to have a powerful effect on the markets. All eyes now will be on Friday’s rig count provided by Baker Hughes as well as Primary Vision’s Frac Spread count. When combined, the two data sets can give a look ahead at future U.S. oil production and the overall sentiment presiding over the U.S. oil industry.",Positive
Why Norway Wont Give Up On Oil Gas.html,,Neutral
Shrinking Global Populations Poses An Existential Threat To Oil.html,"About a week ago, Saudi Energy Minister Prince Abdulaziz bin Salman made waves in the oil community after telling Bloomberg News that Saudi Arabia ""...is going to be the last man standing, and every molecule of hydrocarbon will come out."" The comments by bin Salman—heralded as the most powerful man in the global oil and gas industry—came shortly after the latest OPEC+ agreement and mirrored those by Saudi Aramco CEO Amin Nasser, who expressed similar sentiments back in January 2019. And this might not be idle bluster: In late 2019, Neil Atkinson, head of the oil industry and markets division at the International Energy Agency, told CNBC that, ""There's going to be rising demand for at least the next decade for oil products, possibly longer, and this is cementing [Saudi Arabia's] role as the cornerstone player in global markets, the most reliable and biggest supplier in markets.""  Atkinson also highlighted another rarely discussed oil demand headwind: Shrinking populations in key demand locations. According to Atkinson, population growth remains the key driving force for oil demand, which he estimated could peak in the 2030s. 'Jaw-Dropping' Population Declines  Source: BBC Over the past few years, most of the energy community's attention has been focused on seemingly more existential crises such as climate change. Now, the focus is on the Covid-19 pandemic. But seldom is population decline mentioned as a major headwind for the long-term oil demand outlook. Maybe that's the case because, unlike the other two risk factors, population decline really is a success story being driven by more women in education and work, as well as greater access to contraception, leading to women choosing to have fewer children. Another reason is because population decline is a much slower process whose full effects could take decades to be felt.  But make no mistake about it: Experts are now warning that the world's population is declining at faster than anticipated rates, which could end up having a dramatic effect on major sectors of the global economy, including energy. In early July, Researchers at the University of Washington's Institute for Health Metrics and Evaluation warned that declining and aging populations are no longer a problem for developed economies but, rather, most of the world is currently transitioning into natural population decline.
 In 1950, women were having an average of 4.7 children in their lifetime; the fertility rate nearly halved to 2.4 in 2017 and is projected to fall below 1.7 by 2100. That's well below the 2.1 children per woman that's considered the replacement level for developed nations, meaning the global population will be experiencing massive contraction by the turn of the century. Indeed, the researchers have projected that the global population will peak at 9.7 billion around 2064 before falling down to 8.8 billion by 2100. Population Declines by Major Oil Consumers What makes the long-term situation murky for the oil and gas bulls is the large population declines expected in major oil and gas consumers. By 2100, China and Japan could see their populations drop by roughly 50%. China is the world's second-largest oil consumer in the world, with a daily consumption estimated at 12.8 million barrels per day, while Japan is the fourth largest with a daily consumption of 4.0 million barrels per day. India, the third-largest oil-consuming nation, will fare a bit better but will still lose a quarter of its population by 2100. Russia, the 5th largest, is projected to see its population drop between 15-50%. The U.S. population is projected to expand from the current 331 million in 2020 to 404 million in 2060, when it's expected to plateau. The Eurozone—a region that consumes as much oil as the United States—is one of the few bright spots. Europe is projected to continue growing its population from 507 million in 2020 to 708 million in 20175 before falling to 689 million by 2100. However, Europe also has also set some of the world's most aggressive climate targets, with the European Union having announced a raft of climate change proposals aimed at pushing it towards its goal of becoming carbon neutral by 2050. The problem of falling populations is likely to be aggravated by an aging crisis. The world's number of 80-year-olds is expected to rise from 141 million currently to 866 million by 2100, according to the BBC.
 In the United States, the number of Americans aged 65 or older will jump nearly 75% by 2060 from 56.4 million to 98.2 million. This translates into a demand drop for gasoline of about 5% when looking at 2019 usage statistics and assuming an average of 20 miles per gallon, per driver. Miles driven per year drops dramatically from the 55-64 age bracket (11,972 miles per year) to 7,646 for the 65 and over age bracket.  Aging will also adversely affect the economy, with a 10% increase in the fraction of the population ages 60+ estimated to decrease the growth rate of GDP per capita by 5.5%. The African Situation Rapid population growth in Africa could take up some of that slack but will likely be far from adequate to stem the tide in the developed world. Africa is an interesting case not only due to the fact that demographic forecasts of coming decades diverge in a way that could be crucial but also due to the fact that the continent has a huge population that consumes 4.3 million barrels of oil per day, or slightly less than India.  The UN expects Africa's population to double from 1.3 billion in 2020 to 2.5 billion by 2050 and 4.3 billion people by 2100. The UN reckons that fertility rates in Africa—which have dropped to about 4.4 from 6.7 in 1980—will take another three decades to fall below three children per woman. However, that underestimates the impact of a big jump in the number of girls who are now going to school across large parts of the continent. In the 1970s, little more than half of all children in sub-Saharan Africa were enrolled in primary school, a proportion that has since shot up to almost 100%. Lessons garnered from other parts of the world that have recorded such dramatic increases in enrollment rates suggest that this factor cannot be underestimated in predicting the population growth curve. For instance, Iranian women went from having seven children each to fewer than two between the early 1980s and 2006 after a big rise in female education. Further, although emerging economies have mostly been missing in the ongoing ESG boom, Africa is catching up with the IMF predicting a meaningful shift in African power consumption to renewables by 2050, with most power expected to come from solar and wind by 2100. Overall, we can surmise that population trends across the globe pose a slow yet real and insidious threat to the long-term oil demand outlook even in lieu of increasingly hostile climate policies by the world's governments.",Positive
Exxon Makes Another Major Oil Discovery Offshore Guyana.html,"ExxonMobil and its partner Hess Corporation have made another significant crude oil discovery offshore Guyana, the U.S. supermajor said on Wednesday. The Whiptail discovery in the Stabroek Block adds to more than a dozen discoveries on the block and the previous recoverable resource estimate of approximately 9 billion oil-equivalent barrels. Whiptail, located southeast of Uaru and west of Yellowtail discoveries, could form the basis of another future development in the Stabroek Block, Exxon and Hess said. “Whiptail is a significant new oil discovery that will add to the discovered recoverable resource estimate of approximately 9 billion barrels of oil equivalent and could underpin a future oil development in the southeast area of the Stabroek Block,” Hess Corporation’s CEO John Hess said in a statement.
 ExxonMobil and Hess believe offshore Guyana could allow for at least six projects online by 2027 and see the potential for up to 10 projects to develop the current recoverable resource base in the waters of the South American country. In less than five years, Exxon and its partners in the Stabroek Block made more than a dozen quality discoveries on the block, making Guyana the newest oil-producing nation in December 2019.      The Liza Phase 1 offshore project—Guyana’s first oil-producing project led by ExxonMobil—has reached its full planned production capacity of some 130,000 barrels per day (bpd), Guyana’s President Irfaan Ali said earlier this year. Liza Phase 1 currently produces 120,000 bpd, Exxon said today.
 The Liza Phase 2 Project is designed to pump up to 220,000 bpd with a floating, production, storage, and offloading vessel (FPSO), and remains on target for early 2022, Exxon says. Guyana is one of the top priorities in the U.S. supermajor’s strategy to focus on high-return and cash-generating projects that would allow it to grow its dividend through 2025.  ",Negative
Heres Why Analysts Expect Record High Earnings For ExxonMobil.html,"Surging prices for plastics are likely to help Exxon's petrochemicals division post record-high earnings this week when the company reports its earnings. Items like flooring, roofing and packaging all saw demand remain firm throughout the pandemic. This helped keep a bid under the price of the commodity while the ""lockdown trade"" pulled the rug out from under the bid of other items, like vacations and corporate real estate. Chemical ingredients like polyethylene and polyvinyl chloride used to make plastics have seen record-high prices this year. Limited supply and bottlenecked shipping are adding to the price momentum.  Expectations for Exxon's upcoming earnings report are that the company will show ""a radical financial transformation from last year,"" according to Bloomberg this week. With higher oil prices as an obvious tailwind, the supermajor is expected to have generated enough cash to pay its dividend for a second straight quarter, moving away from the habit of borrowing to fund the distribution. Morgan Stanley has even said that the company has its ""best dividend coverage in a decade"".  
 Matt Murphy, an analyst at Tudor, Pickering, Holt & Co. told Bloomberg: “Chemicals has certainly been a noteworthy area of continued improvement for the majors and Exxon in particular. It’s an area that hasn’t tended to get a ton of focus in the past, but it’s providing strong support for free cash flow across the group.” Bloomberg analysts estimate Exxon's chemicals segment brought in about $1.94 billion in Q2.  Related: Can Iran Avoid A Major National Uprising? Shell and Chevron should also see a rise in profit as a result of the rising prices, Bloomberg notes, but Exxon stands out from the group as the ""biggest winner"" thanks to the large size of its chemicals division. Exxon currently has chemical facilities on the U.S. Gulf Coast, in Rotterdam, and in Singapore. It is currently expanding into Texas and China. 
 Zachary Moore, a market analyst for data provider ICIS, said: “Strong earnings should continue for the remainder of this year. Changes in consumer behavior such as more online shopping and at-home dining may make a permanent jump of around 2-3% in overall demand for polyethylene packaging.” Paul Cheng, an analyst at Scotiabank, added: “This quarter will have gangbuster chemical earnings, but it probably marked the peak and will come off in subsequent quarters.” Cheng attributes his predictions for a peak, followed by a pullback, to supply chains loosening up and facilities recovering from outages.  Earnings are also expected to be helped along by cuts in spending put into place by Exxon Chief Executive Officer Darren Woods, who aims to scale back growth spending by $10 billion per year, out to 2025. The cuts have allowed Exxon ""to harvest large cash flows from this year’s higher oil and gas prices,"" the report says.  Exxon is set to report earnings on Friday. In Q1, the company's chemical segment reported its highest profit in almost a decade.",Positive
The Most Important Oil Project Of The Year Is Set To Go Live.html,"Iran’s Jask oil terminal is now fully set to start loading vast quantities of crude to any major buyer in the world via the Gulf of Oman, with the first shipment of 100,000 metric tons of oil set to dock, load, and sail again within days. The significance of this new terminal can barely be overstated, as it will allow Iran to transport oil and petrochemicals from its major oil fields via Guriyeh in the Shoaybiyeh-ye Gharbi Rural District of Khuzestan Province 1,100 kilometers to Jask Port in Hormozgan province. In short, this 42-inch Guriyeh-Jask pipeline and Jask Oil Terminal build-out will allow Iran to circumvent U.S.-led sanctions against it whilst at the same time allowing Tehran the option of disrupting all other oil supplies that travel through the Strait of Hormuz (around 35 percent of the world’s total).  Up until the completion of the huge Jask facility, with sanctions on Iran still in place following the U.S.’s unilateral withdrawal from the Joint Comprehensive Plan of Action (JCPOA) in May 2018, Tehran has been relying on its tried-and-tested sanctions-busting measures to continue to export increasing volumes of crude oil, especially to China, as exclusively revealed by OilPrice.com. These measures include the re-labeling of Iranian oil into Iraqi oil on the border and at the shared oil reservoirs of the two allies, the use of international brokers to hide Iranian oil movements under the guise of other clients, ship-to-ship transfers of Iranian oil in the territorial waters of Malaysia, Indonesia, and China, and the amalgamation of Iranian oil in Iraq’s oil pipeline export routes.  With the Guriyeh-Jask pipeline and Jask Oil Terminal now in place, though, the volumes of oil that Iran will be able to move freely out to China via the Gulf of Oman, and to other target clients in Asia and elsewhere, will increase dramatically. “Even before U.S. sanctions were re-introduced, the Kharg terminal accounted for around 90 percent of all of Iranian oil export loadings, with the remaining loads going through terminals on Lavan and Sirri, which made obvious and easy targets for the U.S. and its proxies to cripple Iran’s oil sector and therefore its economy,” a senior oil and gas industry source who works closely with Iran’s Petroleum Ministry told OilPrice.com. “In addition, the extreme narrowness of the Strait of Hormuz means that oil tankers have to travel very slowly through it, so pushing up the transit costs and delaying revenue streams,” he said. “Conversely, Iran wants to be able to use the threat – or reality – of closing the Strait of Hormuz for political reasons without also completely destroying its own oil exports revenue stream,” he added.  In the first instance, the oil to be pumped from Guriyeh will be drawn from the cluster of resource-rich oil fields in the West Karoun area, including the supergiant fields of North Azadegan, South Azadegan, North Yaran, South Yaran, and Yadavaran. These fields in particular are the current focus of Iran’s program to increase the mean average rate of recovery from its key oil sites from around 4 percent at present to at least 12 percent within the next two years. According to the Iran source, every incremental barrel increase is being sought as, for every one percent that the rate of recovery from West Karoun is increased the recoverable reserves increase by 670 million barrels. Even with an average Brent crude oil price of US$70 per barrel, this would equate to just under US$50 billion in additional revenues for Iran per each one percent increase.  Related: Top Oilfield Service Providers See Multi-Year Recovery Ahead
 Such an increase in Iran’s rate of recovery is entirely reasonable to project, given that the lifting cost per barrel of crude oil in Iran is at the same world-low level as in Saudi Arabia (US$1-2) – implying the same ease of extraction – and Saudi Arabia’s mean average rate of recovery across its fields is at minimum 50 percent. Saudi, moreover, is looking to increase this to 75 percent within the next couple of years. Back when the JCPOA had just been officially implemented on 16 January 2016, a number of international oil companies presented realistic plans to Iran’s Petroleum Ministry detailing how they could increase the average rate of recovery at the West Karoun fields with relative ease: in the first instance to at least 12.5 percent within one year, to 20 percent within two years, and to 50 percent within five years. Once the oil arrives in Jask, it is stored in any of the 20 storage tanks each capable of storing 500,000 barrels of oil in the first phase (totaling 10 million barrels) for later loading onto very large crude carriers (VLCCs) headed from the Gulf of Oman and into the Arabian Sea and then to the Indian Ocean. The second phase will see an expansion to an overall storage capacity of 30 million barrels. These VLCCs will be accommodated in shipping facilities that have cost around US$200 million in the first phase, although the plans are to expand capacity to allow for further regular shipping of various oil-adjunct and petrochemical products in particular demand in Asia.   In addition, a single point mooring (SPM) loading system with a capacity of 7,000 square meters per hour of loading capacity recently arrived in Assaluyeh, southern Iran, which would also allow for an increase in gas condensate loading capacity at the country’s supergiant non-associated natural gas field South Pars. This SPM will allow for the handling of liquid cargo, such as petroleum products, for tanker ships. “There will be a few more of these installed in the south, in the Gulf of Oman, in the coming months, as they are very useful in areas where a dedicated facility for loading or unloading liquid cargo is not available,” the Iran source told OilPrice.com. These SPMs will operate in a similar manner to those of Iran’s neighbor, Iraq, in that they will be located many kilometers away from the onshore facilities, connected to them by a series of sub-sea pipelines, and able to handle the biggest of VLCCs. 
 Having huge oil storage capacity available just a short direct sea journey away from India means that pressure from India and Pakistan is likely to result in the final go-ahead for the construction of the Iran-Pakistan-China pipeline. “This would necessitate the stationing of Iranian security personnel – that is, IRGC [Islamic Revolutionary Guards Corps] – on Pakistani soil, which is of considerable strategic interest for the IRGC,” said the Iran source. “It also means that Iran can send oil supplies – and anything else it wants in the tankers – to the Houthi faction in Yemen to keep a constant threat to the Saudi southern flank, and also to militia groupings in Somalia and Kenya,” he added. Given the broad and deep ties between Iran and China, these routes and plans perfectly coalesce with Beijing’s own multi-generational power grab project, ‘One Belt, One Road’.  This program, as has been highlighted on numerous occasions – including most recently in the cases on Sri Lanka and Djibouti – uses an initial extension of financing by China to a country in desperate need of funding to allow Beijing to gain a foothold and then when the debtor country cannot afford the repayments on its debt, allows China to grab key assets of the country instead. In Sri Lanka, Beijing began its push by extending unlimited loans to beleaguered former President, Mahinda Rajapaksa, for his Hambantota Port Development Project. This project – as the Chinese well knew - stood little chance of succeeding as a port and when it failed to generate any significant business and Rajapaksa was voted out of office, the new government was unable to meet the loan repayment demands. At that point, the new Sri Lankan government had little choice but to hand over the port to China (plus 15,000 other acres of surrounding land) for a period of at least 99 years in restitution. Hambantota may have been useless as a standard port from the money-making perspective, but for China it is of enormous strategic significance, overlooking South Asia’s major sea lanes, and allowing it in the future to establish a dual-use (commercial and military) facility for naval assets. ",Positive
Oil Prices Boosted By Falling Crude Inventories.html,"Crude oil prices rose today after the Energy Information Administration reported an inventory draw of 4.1 million barrels for the week to July 23. This compared with a build of 2.1 million barrels reported for the previous week and a draw of 4.728 million barrels reported by the American Petroleum Institute for the week to July 23. Analysts had expected the EIA to report a crude oil inventory draw of 3.43 million barrels for the week to July 23.
 In gasoline, the EIA estimated an inventory draw of 2.3 million barrels for last week, with production averaging 9.8 million bpd. This compared with a modest stock decline of 100,000 barrels reported for the previous week and average production of 9.1 million bpd. Gasoline demand has recovered strongly this summer, but according to a fresh Reuters report, it is already plateauing amid the resurgence in Covid-19 cases. ""We're still very much actively dealing with new cases here in the U.S. and also abroad, and that is putting greater pull on demand and what was originally anticipated for this recovery process in the middle of the summer for this year,"" said the American Automobile Association's manager of federal affairs Devin Gladden, as quoted by Reuters.
 In middle distillates, the EIA reported an inventory decline of 3.1 million barrels for the week to July 23, with production at 4.7 million bpd. This compared with a draw of 1.3 million barrels for the previous week and a production rate of 4.9 million bpd. Some airlines have been struggling with jet fuel shortages recently in some smaller U.S. airports, the Wall Street Journal reported earlier this week. The shortage is the result of something of a perfect storm of a strong rebound in air travel and devastating wildfires, which have combined to push up demand for the distillate fuel. At the time of writing, Brent crude was trading at $74.73 per barrel, with West Texas Intermediate at $71.95 per barrel, both slightly up from opening.",Negative
